epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,10480.8,0.71808,0.82122,1.11635,0.79981,0.69092,0.75796,0.64241,0.6775,0.77913,1.08738,0.0022575,0.0022575,0.0022575
127,10565.6,0.71634,0.82077,1.11066,0.8362,0.67955,0.7568,0.64026,0.6786,0.78479,1.08778,0.00225156,0.00225156,0.00225156
128,10650.6,0.70868,0.78607,1.10198,0.76269,0.71517,0.7622,0.64361,0.67891,0.78443,1.08812,0.00224562,0.00224562,0.00224562
129,10735.5,0.72055,0.80463,1.11477,0.78691,0.70977,0.7588,0.64208,0.67968,0.78823,1.08751,0.00223968,0.00223968,0.00223968
130,10820.2,0.72385,0.81592,1.1077,0.78782,0.70086,0.76213,0.64394,0.67382,0.77883,1.07979,0.00223374,0.00223374,0.00223374
131,10904.9,0.70267,0.78427,1.10206,0.81363,0.69842,0.76497,0.6461,0.67582,0.77847,1.08071,0.0022278,0.0022278,0.0022278
132,10990.1,0.70609,0.79742,1.1049,0.80055,0.7006,0.7691,0.64993,0.67386,0.78009,1.07992,0.00222186,0.00222186,0.00222186
133,11075.2,0.70397,0.78249,1.10084,0.82003,0.68577,0.76815,0.64879,0.67226,0.77691,1.07958,0.00221592,0.00221592,0.00221592
134,11159.8,0.71072,0.7834,1.10897,0.82511,0.68988,0.76764,0.64911,0.67191,0.7757,1.08015,0.00220998,0.00220998,0.00220998
135,11244.5,0.70947,0.78428,1.109,0.83739,0.68441,0.7669,0.64931,0.67033,0.78413,1.0804,0.00220404,0.00220404,0.00220404
136,11329.2,0.7108,0.78143,1.10177,0.82229,0.69716,0.76998,0.65051,0.66921,0.77957,1.0801,0.0021981,0.0021981,0.0021981
137,11414.2,0.70364,0.78733,1.10397,0.82238,0.69478,0.77009,0.65153,0.66814,0.78163,1.08185,0.00219216,0.00219216,0.00219216
138,11499,0.7049,0.76481,1.09644,0.82907,0.6852,0.77051,0.65285,0.66434,0.77564,1.08165,0.00218622,0.00218622,0.00218622
139,11583.9,0.69914,0.7703,1.09949,0.80729,0.70014,0.76838,0.65214,0.66447,0.77429,1.0849,0.00218028,0.00218028,0.00218028
140,11668.7,0.71347,0.79029,1.10469,0.81369,0.69381,0.76915,0.65235,0.66294,0.77423,1.08304,0.00217434,0.00217434,0.00217434
141,11753.7,0.71056,0.77442,1.09857,0.8233,0.69369,0.76802,0.65143,0.66553,0.76468,1.0854,0.0021684,0.0021684,0.0021684
142,11838.3,0.70846,0.78483,1.10823,0.82379,0.69543,0.76905,0.65249,0.66638,0.7635,1.08487,0.00216246,0.00216246,0.00216246
143,11923.1,0.69139,0.74465,1.08522,0.81356,0.70309,0.77181,0.65354,0.66563,0.75988,1.08534,0.00215652,0.00215652,0.00215652
144,12008.1,0.69184,0.75456,1.08821,0.81229,0.70386,0.77186,0.65328,0.66365,0.75255,1.08258,0.00215058,0.00215058,0.00215058
145,12093.3,0.69827,0.76075,1.09793,0.79592,0.71864,0.77271,0.65396,0.66547,0.75362,1.08444,0.00214464,0.00214464,0.00214464
146,12178.2,0.69129,0.74956,1.08655,0.80549,0.70944,0.77338,0.6541,0.66965,0.75278,1.08624,0.0021387,0.0021387,0.0021387
147,12263.2,0.71201,0.77912,1.10206,0.81842,0.70035,0.77388,0.65483,0.67228,0.75984,1.08888,0.00213276,0.00213276,0.00213276
148,12348.2,0.68134,0.73471,1.08125,0.808,0.71145,0.77454,0.65529,0.67298,0.76097,1.0894,0.00212682,0.00212682,0.00212682
149,12431.9,0.67302,0.73117,1.0842,0.80278,0.71225,0.77555,0.65606,0.67588,0.76092,1.09099,0.00212088,0.00212088,0.00212088
150,12515.5,0.67234,0.71617,1.07963,0.80606,0.71052,0.77693,0.6569,0.67648,0.76076,1.0928,0.00211494,0.00211494,0.00211494
151,12598.7,0.681,0.73103,1.08231,0.79986,0.71368,0.77934,0.65821,0.67496,0.75889,1.09187,0.002109,0.002109,0.002109
152,12682.8,0.68876,0.74414,1.08195,0.81911,0.70719,0.77822,0.65744,0.6765,0.75626,1.09291,0.00210306,0.00210306,0.00210306
153,12766.3,0.68432,0.73521,1.083,0.81567,0.70705,0.77708,0.6581,0.67735,0.75499,1.09454,0.00209712,0.00209712,0.00209712
154,12849.5,0.67277,0.7131,1.07519,0.82908,0.69987,0.77736,0.65744,0.67384,0.75139,1.08947,0.00209118,0.00209118,0.00209118
155,12933.1,0.6862,0.72206,1.08826,0.81855,0.70596,0.77758,0.65829,0.67106,0.74679,1.08588,0.00208524,0.00208524,0.00208524
156,13016.3,0.67493,0.72319,1.08137,0.82,0.70457,0.77849,0.65883,0.6692,0.7467,1.0849,0.0020793,0.0020793,0.0020793
157,13100.2,0.68242,0.71874,1.07757,0.82368,0.70533,0.77774,0.65895,0.66889,0.74557,1.0846,0.00207336,0.00207336,0.00207336
158,13183.6,0.67467,0.72546,1.0842,0.80033,0.71481,0.77559,0.65801,0.66861,0.74416,1.08472,0.00206742,0.00206742,0.00206742
159,13267.1,0.6742,0.71836,1.07612,0.80069,0.71679,0.7734,0.6571,0.66688,0.74409,1.0839,0.00206148,0.00206148,0.00206148
160,13350.4,0.67612,0.70266,1.07681,0.80495,0.71362,0.77338,0.65634,0.66626,0.74378,1.08398,0.00205554,0.00205554,0.00205554
161,13433.6,0.66706,0.70184,1.07778,0.81122,0.71157,0.77549,0.65745,0.66512,0.74428,1.08353,0.0020496,0.0020496,0.0020496
162,13516.9,0.66768,0.71018,1.07599,0.81144,0.71136,0.77504,0.65823,0.66179,0.74582,1.08025,0.00204366,0.00204366,0.00204366
163,13600.1,0.65588,0.69448,1.06982,0.79818,0.72128,0.77555,0.65952,0.66031,0.74448,1.07913,0.00203772,0.00203772,0.00203772
164,13683.8,0.6737,0.70529,1.0789,0.79152,0.72253,0.77554,0.65934,0.65915,0.74181,1.07826,0.00203178,0.00203178,0.00203178
165,13767,0.66428,0.71359,1.07906,0.79799,0.72313,0.77497,0.65957,0.65845,0.74085,1.07773,0.00202584,0.00202584,0.00202584
166,13850.5,0.66312,0.7002,1.07189,0.80664,0.7204,0.77621,0.66034,0.65881,0.74353,1.07871,0.0020199,0.0020199,0.0020199
167,13934.2,0.67232,0.71964,1.07691,0.81532,0.71684,0.77561,0.65937,0.65973,0.7446,1.07975,0.00201396,0.00201396,0.00201396
168,14017.6,0.6604,0.7008,1.07184,0.82879,0.713,0.77646,0.65947,0.66166,0.74443,1.081,0.00200802,0.00200802,0.00200802
169,14100.9,0.66093,0.70964,1.07361,0.81656,0.71743,0.77511,0.6596,0.66061,0.74136,1.07962,0.00200208,0.00200208,0.00200208
170,14184,0.65668,0.70202,1.07717,0.80482,0.72452,0.77557,0.66018,0.66028,0.74124,1.07844,0.00199614,0.00199614,0.00199614
171,14267.2,0.65301,0.6936,1.06778,0.83501,0.70432,0.77515,0.65971,0.65961,0.73785,1.07797,0.0019902,0.0019902,0.0019902
172,14350.7,0.65539,0.68136,1.06651,0.83665,0.70454,0.77564,0.66014,0.65941,0.73801,1.07718,0.00198426,0.00198426,0.00198426
173,14433.8,0.6604,0.67859,1.07173,0.82227,0.71434,0.7765,0.66162,0.65794,0.73561,1.07633,0.00197832,0.00197832,0.00197832
174,14517.3,0.64519,0.66726,1.06134,0.82607,0.71186,0.77755,0.66161,0.65668,0.73408,1.07558,0.00197238,0.00197238,0.00197238
175,14600.8,0.66632,0.68278,1.06854,0.83132,0.70995,0.77787,0.6627,0.65627,0.73078,1.07578,0.00196644,0.00196644,0.00196644
176,14684.4,0.65568,0.68195,1.06738,0.82819,0.71221,0.77859,0.66348,0.65723,0.73059,1.07684,0.0019605,0.0019605,0.0019605
177,14767.5,0.6514,0.68231,1.07232,0.83094,0.70876,0.77866,0.66353,0.65757,0.72955,1.07739,0.00195456,0.00195456,0.00195456
178,14851.4,0.65443,0.67247,1.06331,0.82814,0.71133,0.77805,0.66326,0.65616,0.72905,1.07651,0.00194862,0.00194862,0.00194862
